pro_name,score,title
iPad mini 2019,8.4,平板电脑榜
iPad Pro 2017,8.2,平板电脑榜
iPad Air 2019,8.2,平板电脑榜
Surface Pro 6,8.2,平板电脑榜
iPad 2018,8.1,平板电脑榜
华为平板 M6,8.1,平板电脑榜
iPad Pro,8.1,平板电脑榜
小米平板 4 Plus,7.3,平板电脑榜
小米平板 4,7.2,平板电脑榜
小米 9,7.6,2019 性价比手机
尼康 D850,8.9,相机人气榜
OPPO Reno Ace,8.5,2019 手机人气榜
Apple Watch Series 5,8.2,智能手表榜
华为 Matebook 14,8.2,笔记本电脑榜
惠普（HP）暗影精灵5,8.1,笔记本电脑榜
OPPO Reno Ace,8.5,2019 旗舰手机榜
联想小新平板,7.2,平板电脑榜
苹果 HomePod,8.5,蓝牙音箱榜
Redmi K20,8.1,2019 性价比手机
Redmi K20 Pro,8.5,2019 性价比手机
索尼 A6400,8.8,相机人气榜
华为 Mate 30,8.4,2019 手机人气榜
华为 Watch GT2,8.0,智能手表榜
联想拯救者 Y7000,8.0,笔记本电脑榜
索尼 WH-1000XM3,8.7,耳机口碑榜
华为 Mate 30,8.4,2019 旗舰手机榜
iPad mini 4,7.0,平板电脑榜
JBL Xtreme,8.4,蓝牙音箱榜
荣耀 9X,7.8,2019 性价比手机
佳能 EOS R,8.7,相机人气榜
华为 Mate 30 Pro,8.3,2019 手机人气榜
OnePlus 7 Pro,8.3,2019 手机人气榜
AMAZFIT GTR,7.7,智能手表榜
华为 WATCH GT（运动版）,7.6,智能手表榜
MacBookPro 2018,8.0,笔记本电脑榜
联想小新 Pro 13（2019）,8.0,笔记本电脑榜
索尼 WI-1000X,8.6,耳机口碑榜
Bose QuietComfort 35,8.6,耳机口碑榜
佳能 EF 50mm f/1.4 USM,8.1,镜头榜
OnePlus 7 Pro,8.3,2019 旗舰手机榜
海盗船 K70 RGB MK.2,8.7,键盘榜
Vortexgear Type Q,8.7,键盘榜
索尼 KD-85X9000F,8.1,智能电视榜
小米手环 4,8.5,智能手环榜
AOC CQ27G1,8.9,显示器榜
优派 XG2703,8.6,显示器榜
金士顿骇客神条FURY 8GB DDR4 2400,8.3,内存榜
影驰(Galaxy) 名人堂 HOF DDR4 3600,8.2,内存榜
联想拯救者 刃 7000 3 代,7.9,台式电脑榜
外星人 ALWA51R-8988S,7.6,台式电脑榜
华为 M5,7.0,平板电脑榜
七彩虹 iGame GeForce RTX 2080 Ti Advanced OC,7.9,显卡榜
AMD Radeon RX 5700,7.8,显卡榜
JBL Pulse3,8.3,蓝牙音箱榜
魅族 16s,7.8,2019 性价比手机
Redmi Note 8 Pro,8.1,2019 性价比手机
佳能 5D Mark IV,8.7,相机人气榜
OnePlus 7,8.2,2019 手机人气榜
Apple Watch Series 4,7.5,智能手表榜
荣耀 Watch Magic,7.4,智能手表榜
三星 Galaxy Watch,7.3,智能手表榜
荣耀 MagicBook,7.9,笔记本电脑榜
索尼 WF-1000XM3,8.3,耳机口碑榜
AirPods（第二代）,8.2,耳机口碑榜
B&O beoplay H9i,8.2,耳机口碑榜
佳能 EF 24-70mm f/2.8L II USM,8.0,镜头榜
尼康 AF-S 24-70mm f/2.8E ED VR,7.8,镜头榜
尼康 AF-S 105mm f/1.4E ED,7.8,镜头榜
华为 Mate 30 Pro,8.3,2019 旗舰手机榜
雷柏 V500,8.7,键盘榜
罗技 G610,8.6,键盘榜
索尼 KD-55A8F,8.0,智能电视榜
荣耀手环 5,8.4,智能手环榜
华为手环 3 Pro,8.3,智能手环榜
乐心 Mambo 2,8.2,智能手环榜
飞利浦 328E9QHSB,8.5,显示器榜
影驰(Galaxy) 名人堂 HOF DDR4-4000,8.1,内存榜
芝奇 Ripjaws V 8GB DDR4 2133,8.0,内存榜
海盗船统治者铂金 64GB DDR4 3200,8.0,内存榜
联想天逸 510 Pro,7.6,台式电脑榜
小米平板 3,7.0,平板电脑榜
联想 MIIX 520,6.9,平板电脑榜
三星 Galaxy Tab S6,6.7,平板电脑榜
索泰 GTX1660Ti 6GD6 X GAMING OC,7.8,显卡榜
索尼 SRS-XB01,8.3,蓝牙音箱榜
OnePlus 7,8.2,2019 性价比手机
魅族 16s Pro,8.6,2019 性价比手机
荣耀 20,7.4,2019 性价比手机
索尼 A7RM3,8.7,相机人气榜
Redmi Note 8 Pro,8.1,2019 手机人气榜
小米 9 Pro,8.1,2019 手机人气榜
Redmi K20,8.1,2019 手机人气榜
小天才 Z6,7.1,智能手表榜
联想 ThinkPad X1 Carbon,7.8,笔记本电脑榜
Surface Laptop 2,7.6,笔记本电脑榜
MacBook Pro 2019,7.5,笔记本电脑榜
B＆O Beoplay E8,8.1,耳机口碑榜
森海塞尔 IE80S,8.1,耳机口碑榜
森海塞尔 MOMENTUM Wireless,8.1,耳机口碑榜
富士 XF 56mm F1.2 R,7.7,镜头榜
小米 9 Pro,8.1,2019 旗舰手机榜
荣耀 20 Pro,8.0,2019 旗舰手机榜
华为 P30 Pro,7.9,2019 旗舰手机榜
ikbc C87,8.3,键盘榜
Redmi 红米电视（70 英寸）,7.5,智能电视榜
小米电视 4,7.5,智能电视榜
夏普 LCD-60SU575A,7.2,智能电视榜
荣耀手环 4,8.1,智能手环榜
小米手环 3,7.7,智能手环榜
三星 Gear Fit2 Pro,7.4,智能手环榜
明基 PD2700U,8.4,显示器榜
AOC U2790PQU,8.4,显示器榜
飞利浦 276C8,8.4,显示器榜
威刚 DDR4 2133,8.0,内存榜
戴尔灵越 3670,7.6,台式电脑榜
Mac mini 2018,7.5,台式电脑榜
雷神（ThundeRobot）911 黑武士 Ⅱ,7.4,台式电脑榜
NVIDIA GeForce RTX 2080 Founders Edition,7.8,显卡榜
影驰 GeForce RTX 2070 星曜,7.7,显卡榜
Bose SoundLink Revolve+,8.3,蓝牙音箱榜
小米 CC9,6.6,2019 性价比手机
尼康 Z6,8.7,相机人气榜
华为 P30 Pro,7.9,2019 手机人气榜
荣耀 9X,7.8,2019 手机人气榜
三星 Gear S3 先锋版,7.0,智能手表榜
MacBook Air 2019,7.4,笔记本电脑榜
戴尔游匣 G7,7.4,笔记本电脑榜
Bose QuietControl 30,8.0,耳机口碑榜
三星 Galaxy Buds,8.0,耳机口碑榜
佳能 EF 16-35mm f/2.8L III USM,7.7,镜头榜
尼康 AF-S 14-24mm f/2.8G ED,7.5,镜头榜
腾龙 28-75mm F/2.8Di III RXD,7.4,镜头榜
索尼 Xperia 1,7.9,2019 旗舰手机榜
华为 P30,7.8,2019 旗舰手机榜
iQOO Pro,7.3,2019 旗舰手机榜
黑爵刺客 Ⅱ AK35i,8.1,键盘榜
小米电视 4S,7.1,智能电视榜
华为智慧屏,6.8,智能电视榜
海信 H65E75A,6.7,智能电视榜
华为手环 3e 跑步精灵,7.2,智能手环榜
华硕 PG279Q,8.4,显示器榜
HKC GF40,8.4,显示器榜
华硕 VG27AQE,8.3,显示器榜
威刚 XPG 威龙 DDR4 3200,7.9,内存榜
戴尔成就 3470,7.4,台式电脑榜
蓝宝石 RX 590 8G D5 超白金 OC,7.7,显卡榜
B＆O PLAY Beoplay A1,8.3,蓝牙音箱榜
iQOO Pro,7.3,2019 性价比手机
华为 nova 5 Pro,8.6,2019 性价比手机
富士 X-T3,8.6,相机人气榜
索尼 A7M3,8.5,相机人气榜
华为 P30,7.8,2019 手机人气榜
魅族 16s,7.8,2019 手机人气榜
小米 9,7.6,2019 手机人气榜
TicWatch Pro 4G 版,6.9,智能手表榜
Alienware m15,7.4,笔记本电脑榜
小鸟音响 Track+,7.9,耳机口碑榜
索尼 FE 24-70mm f/2.8 GM,7.4,镜头榜
iPhone 11 Pro Max,7.1,2019 旗舰手机榜
CHERRY G80-3000,8.1,键盘榜
TCL X10 QLED 8K TV,6.6,智能电视榜
华为手环 B3,6.7,智能手环榜
小米手环 2,6.5,智能手环榜
华为手环 B5,6.3,智能手环榜
AOC AG322QCG,8.2,显示器榜
宏碁 XB271HU,8.2,显示器榜
飞利浦 273V7QDSBF,8.2,显示器榜
海盗船复仇者 RGB PRO 16GB DDR4 3000,7.7,内存榜
惠普小欧 290,7.4,台式电脑榜
NVIDIA GeForce RTX 2080Ti Founders Edition,7.7,显卡榜
七彩虹 iGame GeForce RTX 2060 Ultra,7.7,显卡榜
猫王收音机 MW-2A,8.2,蓝牙音箱榜
JBL Flip5,8.1,蓝牙音箱榜
realme X2 Pro,8.1,2019 性价比手机
尼康 Z7,8.5,相机人气榜
尼康 D810,8.4,相机人气榜
iPhone 11 Pro Max,7.1,2019 手机人气榜
iPhone 11 ,6.4,2019 手机人气榜
Apple Watch Series 3,6.9,智能手表榜
联想拯救者 Y9000K,7.3,笔记本电脑榜
联想小新 Air13,7.2,笔记本电脑榜
惠普 Envy X360,7.2,笔记本电脑榜
JBL T280TWS,7.9,耳机口碑榜
Bose SoundSport Free,7.9,耳机口碑榜
 华为 FreeBuds 2 Pro,7.8,耳机口碑榜
佳能 EF 100mm f/2.8L IS USM,7.3,镜头榜
iPhone 11 ,6.4,2019 旗舰手机榜
ikbc F108,8.0,键盘榜
AKKO 3108,8.0,键盘榜
达尔优机械师合金版,7.8,键盘榜
荣耀智慧屏,5.9,智能电视榜
AMAZFIT 米动手环,5.5,智能手环榜
三星 S27R750Q,8.1,显示器榜
芝奇 Ripjaws V 16GB DDR4 3400,7.6,内存榜
联想天逸 510S,7.3,台式电脑榜
迪兰 DEVIL RX 590 8G V2,7.6,显卡榜
B＆O PLAY beoplay Beolit 17,8.1,蓝牙音箱榜
魅族 16T,7.2,2019 性价比手机
iQOO Neo 855 版,6.9,2019 性价比手机
尼康 D750,8.3,相机人气榜
佳能 6D Mark II,8.3,相机人气榜
AMAZFIT 智能手表,6.6,智能手表榜
佳明 Fenix 5,6.4,智能手表榜
Apple Watch Series 1,6.3,智能手表榜
AirPods Pro,7.6,耳机口碑榜
尼康 Z 14-30mm f/4 S,7.3,镜头榜
iPhone 11 Pro,6.2,2019 旗舰手机榜
HHKB Pro 2,7.8,键盘榜
戴尔 U2417H,8.1,显示器榜
金士顿骇客神条 FURY 16GB DDR4 3200,7.6,内存榜
戴尔 OptiPlex 7060MT,6.9,台式电脑榜
七彩虹 iGame GeForce GTX 1660Ti Ultra,7.6,显卡榜
哈曼卡顿 Aura Studio2,8.0,蓝牙音箱榜
佳能 EOS M50,8.2,相机人气榜
索尼 A7RM4,8.2,相机人气榜
佳能 EF 70-200mm f/2.8L IS III USM,7.2,镜头榜
三星 Galaxy S10,6.0,2019 旗舰手机榜
vivo NEX 3,5.6,2019 旗舰手机榜
狼蛛 F2008,7.7,键盘榜
Cherry MX8.0,7.6,键盘榜
Lofree 洛斐机械键盘,7.0,键盘榜
十铨(Team) 王者之剑 16GB DDR4 3600,7.6,内存榜
芝奇 V 16GB DDR4 2400,7.5,内存榜
戴尔成就 5090,6.9,台式电脑榜
华硕 ROG STRIX RTX2060S O8G GAMING OC,7.6,显卡榜
NVIDIA TITAN RTX,7.5,显卡榜
JBL CHARGE3,8.0,蓝牙音箱榜
松下 LUMIX S1H,7.9,相机人气榜
佳能 RF 24-105mm f/4L IS USM,7.2,镜头榜
索尼 FE 24mm f/1.4 GM,7.1,镜头榜
斐尔可 FKBN104MRL,6.8,键盘榜
威刚万紫千红 DDR4 2666,7.5,内存榜
联想拯救者刃 9000,6.9,台式电脑榜
影驰 GeForce RTX 2060 Super 星曜,7.5,显卡榜
铭瑄 GeForce GTX1660 终结者,7.4,显卡榜
小爱音箱,7.9,蓝牙音箱榜
腾讯叮当 TD-K01,7.8,蓝牙音箱榜
JBL GO2,7.8,蓝牙音箱榜
适马 14-24mm f/2.8 DG HSM Art,7.0,镜头榜
海盗船复仇者 LPX 8GB DDR4 3000,7.2,内存榜
七彩虹 iGame GeForce GTX 1660 Ti AD Special OC,7.3,显卡榜
索尼 SRS-XB21,7.7,蓝牙音箱榜
威刚万紫千红 DDR4 2400,6.9,内存榜
